id,RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2023-03-31,2023-05-31,2024-02-29,createdAt,updatedAt
124,395050,125,"Salinas, CA",msa,CA,2023-02-28,-0.2,-0.2,-0.3,2023-04-04,2023-04-04
125,394502,126,"Corpus Christi, TX",msa,TX,2023-02-28,0.1,-0.8,-2.4,2023-04-04,2023-04-04
126,394870,127,"Mobile, AL",msa,AL,2023-02-28,0.9,0.7,1.3,2023-04-04,2023-04-04
127,394421,128,"Brownsville, TX",msa,TX,2023-02-28,1.5,1.4,2.6,2023-04-04,2023-04-04
128,395051,129,"Salisbury, MD",msa,DE,2023-02-28,0.6,0.9,2.2,2023-04-04,2023-04-04
129,395015,130,"Reading, PA",msa,PA,2023-02-28,0.5,1,1.5,2023-04-04,2023-04-04
130,394658,131,"Gulfport, MS",msa,MS,2023-02-28,0.8,0.8,1,2023-04-04,2023-04-04
131,394820,132,"Manchester, NH",msa,NH,2023-02-28,0.3,0.5,0.6,2023-04-04,2023-04-04
132,394612,133,"Fort Wayne, IN",msa,IN,2023-02-28,0.3,0.5,1.4,2023-04-04,2023-04-04
133,394596,134,"Flint, MI",msa,MI,2023-02-28,0.9,1,2.6,2023-04-04,2023-04-04
134,394327,135,"Anchorage, AK",msa,AK,2023-02-28,0.1,-0.7,-3.6,2023-04-04,2023-04-04
135,394972,136,"Peoria, IL",msa,IL,2023-02-28,0.3,-0.3,-2.5,2023-04-04,2023-04-04
136,394439,137,"Canton, OH",msa,OH,2023-02-28,0.5,0.2,-0.1,2023-04-04,2023-04-04
137,395070,138,"Savannah, GA",msa,GA,2023-02-28,0.7,1.6,3.6,2023-04-04,2023-04-04
138,394901,139,"Naples, FL",msa,FL,2023-02-28,0.1,0,2.1,2023-04-04,2023-04-04
139,395096,140,"Shreveport, LA",msa,LA,2023-02-28,2.2,1.9,-1.7,2023-04-04,2023-04-04
140,394372,141,"Beaumont, TX",msa,TX,2023-02-28,1.1,0.3,-1.4,2023-04-04,2023-04-04
141,395146,142,"Tallahassee, FL",msa,FL,2023-02-28,1,1.2,1.8,2023-04-04,2023-04-04
142,394576,143,"Eugene, OR",msa,OR,2023-02-28,0,-0.4,-0.1,2023-04-04,2023-04-04
143,394520,144,"Davenport, IA",msa,IL,2023-02-28,0.4,-0.2,-2.3,2023-04-04,2023-04-04
144,394927,145,"Ocala, FL",msa,FL,2023-02-28,-0.3,-0.6,2.3,2023-04-04,2023-04-04
145,394875,146,"Montgomery, AL",msa,AL,2023-02-28,0.7,0.3,-0.3,2023-04-04,2023-04-04
146,394679,147,"Hickory, NC",msa,NC,2023-02-28,0.5,0.6,3.3,2023-04-04,2023-04-04
147,395164,148,"Trenton, NJ",msa,NJ,2023-02-28,1.2,1.4,0.8,2023-04-04,2023-04-04
148,394332,149,"Ann Arbor, MI",msa,MI,2023-02-28,0.4,-0.1,-1.7,2023-04-04,2023-04-04
149,394602,150,"Fort Collins, CO",msa,CO,2023-02-28,0,-0.4,-1.5,2023-04-04,2023-04-04
150,394697,151,"Huntington, WV",msa,OH,2023-02-28,0.2,-0.2,-1.4,2023-04-04,2023-04-04
151,394796,152,"Lincoln, NE",msa,NE,2023-02-28,0.3,0.2,-0.6,2023-04-04,2023-04-04
152,395033,153,"Rockford, IL",msa,IL,2023-02-28,0.3,0.3,-0.2,2023-04-04,2023-04-04
153,394645,154,"Greeley, CO",msa,CO,2023-02-28,0.2,0.1,-0.3,2023-04-04,2023-04-04
154,394622,155,"Gainesville, FL",msa,FL,2023-02-28,0.2,0.1,1.3,2023-04-04,2023-04-04
155,394405,156,"Boulder, CO",msa,CO,2023-02-28,0,-0.2,-1.9,2023-04-04,2023-04-04
156,394808,157,"Lubbock, TX",msa,TX,2023-02-28,0.5,0.4,-0.4,2023-04-04,2023-04-04
157,395109,158,"Spartanburg, SC",msa,SC,2023-02-28,0.4,0.8,2.8,2023-04-04,2023-04-04
158,394646,159,"Green Bay, WI",msa,WI,2023-02-28,0.6,0.6,1,2023-04-04,2023-04-04
159,395107,160,"South Bend, IN",msa,IN,2023-02-28,0.7,0.8,1.8,2023-04-04,2023-04-04
160,394488,161,"Columbus, GA",msa,GA,2023-02-28,0.3,0,0.4,2023-04-04,2023-04-04
161,394579,162,"Evansville, IN",msa,IN,2023-02-28,0.3,0.1,-0.1,2023-04-04,2023-04-04
162,394471,163,"Clarksville, TN",msa,TN,2023-02-28,0.4,0.5,2.3,2023-04-04,2023-04-04
163,395028,164,"Roanoke, VA",msa,VA,2023-02-28,0.2,0.3,0.6,2023-04-04,2023-04-04
164,394747,165,"Kingsport, TN",msa,TN,2023-02-28,1.4,1.7,3.3,2023-04-04,2023-04-04
165,394741,166,"Kennewick, WA",msa,WA,2023-02-28,0.1,0.2,1.2,2023-04-04,2023-04-04
166,395229,167,"Wilmington, NC",msa,NC,2023-02-28,0.5,1.2,3.2,2023-04-04,2023-04-04
167,394937,168,"Olympia, WA",msa,WA,2023-02-28,0,0.1,1.3,2023-04-04,2023-04-04
168,394660,169,"Hagerstown, MD",msa,MD,2023-02-28,0.4,0.3,0.6,2023-04-04,2023-04-04
169,753875,170,"Crestview, FL",msa,FL,2023-02-28,0,-0.1,2.4,2023-04-04,2023-04-04
170,394543,171,"Duluth, MN",msa,MN,2023-02-28,0.7,0.5,0.6,2023-04-04,2023-04-04
171,395179,172,"Utica, NY",msa,NY,2023-02-28,0.4,0.4,1.2,2023-04-04,2023-04-04
172,394803,173,"Longview, TX",msa,TX,2023-02-28,0.9,0.7,0.9,2023-04-04,2023-04-04
173,395061,174,"San Luis Obispo, CA",msa,CA,2023-02-28,-0.5,-1,-1.7,2023-04-04,2023-04-04
174,394851,175,"Merced, CA",msa,CA,2023-02-28,-0.3,-0.7,-0.5,2023-04-04,2023-04-04
175,394772,176,"Laredo, TX",msa,TX,2023-02-28,1.4,1.3,-0.2,2023-04-04,2023-04-04
176,395197,177,"Waco, TX",msa,TX,2023-02-28,0.1,0,2.3,2023-04-04,2023-04-04
177,394447,178,"Cedar Rapids, IA",msa,IA,2023-02-28,0.1,-0.2,-1.6,2023-04-04,2023-04-04
178,395103,179,"Sioux Falls, SD",msa,SD,2023-02-28,0.3,0.2,0.1,2023-04-04,2023-04-04
179,394412,180,"Bremerton, WA",msa,WA,2023-02-28,-0.2,-0.6,0,2023-04-04,2023-04-04
180,395065,181,"Santa Cruz, CA",msa,CA,2023-02-28,-0.1,0.6,0.5,2023-04-04,2023-04-04
181,394572,182,"Erie, PA",msa,PA,2023-02-28,0.5,0.5,-0.3,2023-04-04,2023-04-04
182,394483,183,"College Station, TX",msa,TX,2023-02-28,0.9,0.7,-1.1,2023-04-04,2023-04-04
